user_id,recommended_items
285,1726380 1728166 561002 1808563 2712821
902,455014 75845 519950 399435 1520277
948,1053542 2031981 2466095 1673229 410414
1183,1096406 579292 2393265 2117630 771171
1286,671485 1719107 2633410 540575 2480773
1509,1566231 1003954 466934 1972115 490987
1776,623022 991784 751179 1103447 194022
1982,2636095 1244196 1732529 1386412 430533
2742,1244196 1386412 657183 2002097 2791339
3161,472040 243252 967007 522984 723096
3256,2141209 1876889 929053 1392852 333784
3375,2031981 668899 1966003 1673229 1129899
3547,1244196 1053542 1386412 657183 2791339
3630,2750191 1290875 1472716 2770160 2087076
3806,1363769 1175028 1809150 2574719 2554859
4607,657183 1244196 1386412 536047 343377
5112,1386412 1244196 1754395 657183 784737
5627,374376 415358 2380306 2593483 314274
5686,926828 475804 430041 7778 1284670
5738,2310939 823512 1129899 1129891 375324
5839,1443706 2313894 2698468 1069281 2603642
6442,211719 2458668 2591135 2558141 2526744
7182,2340784 1183228 2014172 2687682 784887
7693,1386412 1244196 657183 2791339 536047
8316,650449 1049741 1049182 1066190 1721435
9660,2796479 307238 1717754 2227201 2388160
9680,624750 2184058 1310205 1017628 299943
10044,1208433 388367 2232786 1229739 81416
10316,830073 844140 192652 2428065 2543716
10469,1430325 2616539 2547410 920520 2825431
10470,2686231 2154395 161347 2155612 693466
10870,1244196 1386412 507027 657183 1984327
10956,163684 459732 2372201 192785 493729
11027,1264432 522016 1956960 1087413 145591
11380,1165605 1984327 1891459 1608366 1914124
11423,1244196 2054979 1386412 648525 657183
11805,338801 1227554 1231221 2031674 178439
12046,1073372 2750450 2466755 2007718 437364
12097,1386412 2106311 1984327 734196 784737
12233,579292 1244196 1386412 1672211 657183
12593,2830138 2107221 1216431 1619669 2215495
12626,1442051 1728212 377012 1804721 1478056
12630,2393613 2761339 393793 436051 2724276
12671,1646403 952102 2453965 830631 460717
12689,1105190 261110 1221859 1135075 991588
12750,470426 2037855 374376 1244787 2092767
12852,426390 981474 2255401 2182900 1605461
13715,1244196 1053542 1386412 657183 2791339
14269,409267 1635575 2609935 841925 1485135
14624,266412 2313894 1953846 306161 1249278
14792,1244196 1196827 1868621 1818555 1832768
14966,2112431 2621022 2275702 1799841 2004956
15006,1499394 231115 50457 83460 2768702
15100,2520574 949723 1750053 2037855 671237
15549,602260 1366236 2121562 1953745 2086053
15611,1713185 1036813 1920047 2326315 2493997
16228,278589 1244196 2002097 1386412 79531
16874,278589 1155556 610011 1347445 1453018
