user_id,recommended_items
2702977,2778525 1244196 1386412 657183 2791339 
711553,2778525 1244196 1386412 657183 2791339 
1499907,2778525 1244196 1386412 657183 2791339 
2538629,2778525 1244196 1386412 657183 2791339 
657287,2778525 1244196 1386412 657183 2791339 
2541064,2778525 1244196 1386412 657183 2791339 
2302346,2778525 1244196 1386412 657183 2791339 
29708,2778525 1244196 1386412 657183 2791339 
2057868,2778525 1244196 1386412 657183 2791339 
2674191,2778525 1244196 1386412 657183 2791339 
584466,2778525 1244196 1386412 657183 2791339 
2003991,2778525 1244196 1386412 657183 2791339 
2877464,2778525 1244196 1386412 657183 2791339 
1970717,2778525 1244196 1386412 657183 2791339 
2064670,2778525 1244196 1386412 657183 2791339 
237477,2778525 1244196 1386412 657183 2791339 
1806502,1836672 1047625 902758 2138292 2309898 
886698,2778525 1244196 1386412 657183 2791339 
2371371,2778525 1244196 1386412 657183 2791339 
2462127,2778525 1244196 1386412 657183 2791339 
1096112,2778525 1244196 1386412 657183 2791339 
1869752,2651519 213792 224117 2778525 1244196 
2431545,2778525 1244196 1386412 657183 2791339 
2462524,2778525 1244196 1386412 657183 2791339 
1313735,2778525 1244196 1386412 657183 2791339 
2353736,2778525 1244196 1386412 657183 2791339 
1731019,2778525 1244196 1386412 657183 2791339 
1219790,2778525 1244196 1386412 657183 2791339 
420176,2778525 1244196 1386412 657183 2791339 
2835411,2778525 1244196 1386412 657183 2791339 
2838101,2778525 1244196 1386412 657183 2791339 
2125784,2778525 1244196 1386412 657183 2791339 
546909,2778525 1244196 1386412 657183 2791339 
1659617,2778525 1244196 1386412 657183 2791339 
1604196,2778525 1244196 1386412 657183 2791339 
1672550,2778525 1244196 1386412 657183 2791339 
1065961,1838145 1522825 1386412 2106311 2778525 
1341423,2791339 1838145 1522825 1386412 2778525 
2953213,1130730 627172 2734753 213504 802795 
443890,2778525 1244196 1386412 657183 2791339 
2876273,2778525 1244196 1386412 657183 2791339 
782837,2778525 1244196 1386412 657183 2791339 
307190,2779674 1728615 1980602 1619155 1825175 
679931,2778525 1244196 1386412 657183 2791339 
535549,2778525 1244196 1386412 657183 2791339 
1135998,2778525 1244196 1386412 657183 2791339 
